metric_key,column,label,short_label,source,group,format,unit,description,active,calculation
TeamKey,TeamKey,Team Key,,teams_core_v30,Team Identity & Context,,,Unique identifier: {Team}_{Gender}_{Class}_{Region},1,Direct field from the teams table; used to identify and segment teams.
Team,Team,Team,,teams_core_v30,Team Identity & Context,,,Normalized team name,1,Direct field from the teams table; used to identify and segment teams.
Gender,Gender,Gender,,teams_core_v30,Team Identity & Context,,,Boys or Girls,1,Direct field from the teams table; used to identify and segment teams.
Class,Class,Class,,teams_core_v30,Team Identity & Context,,,Competition class (A/B/C/D/S),1,Direct field from the teams table; used to identify and segment teams.
Region,Region,Region,,teams_core_v30,Team Identity & Context,,,Geographic region (North/South),1,Direct field from the teams table; used to identify and segment teams.
Division,Division,Division,,teams_core_v30,Team Identity & Context,,,SchoolDivision value,1,Direct field from the teams table; used to identify and segment teams.
Season,Season,Season,,teams_core_v30,Team Identity & Context,,,"Derived from Date (e.g., 2024-25)",1,Direct field from the teams table; used to identify and segment teams.
Games,Games,Games,,teams_core_v30,Basic Results & Record,,,Total games played,1,Count of games/results aggregated from the schedule/results dataset.
Wins,Wins,Wins,,teams_core_v30,Basic Results & Record,,,Total wins,1,Count of games/results aggregated from the schedule/results dataset.
Losses,Losses,Losses,,teams_core_v30,Basic Results & Record,,,Total losses,1,Count of games/results aggregated from the schedule/results dataset.
Ties,Ties,Ties,,teams_core_v30,Basic Results & Record,,,Total ties,1,Count of games/results aggregated from the schedule/results dataset.
Record,Record,Record,,teams_core_v30,Basic Results & Record,,,Win-Loss-Tie string,1,Formatted string derived from Wins–Losses–Ties.
WinPct,WinPct,Win %,,teams_core_v30,Basic Results & Record,.3f,,Win percentage,1,"Wins divided by Games (games played), expressed as a proportion."
GamesScheduled,GamesScheduled,Games Scheduled,,teams_core_v30,Basic Results & Record,,,Scheduled games (from CSV),1,Aggregated from game results (counts and simple derived fields).
GamesRemaining,GamesRemaining,Games Remaining,,teams_core_v30,Basic Results & Record,,,Games left to play,1,Aggregated from game results (counts and simple derived fields).
PointsFor,PointsFor,Points For,,teams_core_v30,Scoring & Margin,.0f,pts,Total points scored,1,Sum of team points scored across all played games.
PointsAgainst,PointsAgainst,Points Against,,teams_core_v30,Scoring & Margin,.0f,pts,Total points allowed,1,Sum of opponent points allowed across all played games.
PPG,PPG,PPG,,teams_core_v30,Scoring & Margin,.1f,pts/g,Points per game,1,PointsFor divided by Games (points per game).
OPPG,OPPG,OPPG,,teams_core_v30,Scoring & Margin,.1f,pts/g,Opponent points per game,1,PointsAgainst divided by Games (opponent points per game).
MarginPG,MarginPG,Margin/G,,teams_core_v30,Scoring & Margin,.1f,pts,Average margin of victory/defeat,1,Average of (team score − opponent score) per played game.
MarginStd,MarginStd,Margin Std Dev,,teams_core_v30,Scoring & Margin,.1f,pts,Standard deviation of margins,1,Standard deviation of per-game margins over the specified window.
MarginStdL10,MarginStdL10,Margin Std (L10),,teams_core_v30,Scoring & Margin,.1f,pts,Margin std dev last 10 games,1,Standard deviation of per-game margins over the specified window.
L5PPG,L5PPG,L5 PPG,,teams_core_v30,Scoring & Margin,.1f,pts/g,Points per game last 5 games,1,Computed over the team’s last 5 games only (same definition as the full-season stat).
L5MarginPG,L5MarginPG,L5 Margin/G,,teams_core_v30,Scoring & Margin,.1f,pts,Margin per game last 5,1,Computed over the team’s last 5 games only (same definition as the full-season stat).
Last5MarginPG,Last5MarginPG,Last 5 Margin/G,,teams_core_v30,Scoring & Margin,.1f,pts,Margin per game last 5 (alias),1,Computed over the team’s last 5 games only (same definition as the full-season stat).
Last10MarginPG,Last10MarginPG,Last 10 Margin/G,,teams_core_v30,Scoring & Margin,.1f,pts,Margin per game last 10,1,Computed over the team’s last 10 games only (same definition as the full-season stat).
HighestScore,HighestScore,Highest Score,,teams_core_v30,Scoring & Margin,.0f,pts,Highest single-game score,1,"Aggregated from per-game scores and margins (sums, averages, and extremes)."
LowestScore,LowestScore,Lowest Score,,teams_core_v30,Scoring & Margin,.0f,pts,Lowest single-game score,1,"Aggregated from per-game scores and margins (sums, averages, and extremes)."
HighestMargin,HighestMargin,Highest Margin,,teams_core_v30,Scoring & Margin,.0f,pts,Biggest win margin,1,Average of (team score − opponent score) per played game.
LowestMargin,LowestMargin,Lowest Margin,,teams_core_v30,Scoring & Margin,.0f,pts,Worst loss margin,1,Average of (team score − opponent score) per played game.
OffEff,OffEff,Offensive Eff,OffEff,teams_core_v30,Efficiency Ratings,.1f,,Offensive efficiency (pts per 100 poss estimate),1,Derived from points and an estimated possessions model; NetEff = OffEff − DefEff.
DefEff,DefEff,Defensive Eff,DefEff,teams_core_v30,Efficiency Ratings,.1f,,Defensive efficiency (pts allowed per 100 poss estimate),1,Derived from points and an estimated possessions model; NetEff = OffEff − DefEff.
NetEff,NetEff,Net Efficiency,NetEff,teams_core_v30,Efficiency Ratings,.1f,,Net efficiency (OffEff - DefEff),1,Derived from points and an estimated possessions model; NetEff = OffEff − DefEff.
ExpectedWins,ExpectedWins,Expected Wins,xW,teams_core_v30,Expected Win Probability & SOS,.1f,wins,Expected wins based on game-by-game win probabilities,1,Sum of game-level win probabilities across all scheduled games (expected number of wins).
SOS_EWP,SOS_EWP,SOS (EWP),SOS,teams_core_v30,Expected Win Probability & SOS,.3f,,Strength of schedule via expected win percentage,1,Strength of schedule derived from expected win probabilities against opponents.
ScheduleAdjWins,ScheduleAdjWins,Schedule-Adj Wins,SAW,teams_core_v30,Expected Win Probability & SOS,.1f,wins,Actual wins minus expected wins (luck-adjusted performance),1,Actual Wins minus ExpectedWins (positive = outperforming expectation; negative = underperforming).
WP,WP,Win %,WP,teams_core_v30,RPI & SOS Metrics,.3f,,Win percentage (same as WinPct),1,Wins divided by Games (proportion).
OWP,OWP,Opponents' Win %,OWP,teams_core_v30,RPI & SOS Metrics,.3f,,Average win percentage of opponents (excluding games vs this team),1,"Average opponent win percentage, excluding games vs this team."
OOWP,OOWP,Opponents' Opp Win %,OOWP,teams_core_v30,RPI & SOS Metrics,.3f,,Average OWP of opponents (second-order SOS),1,Average of opponents’ OWP (second-order strength of schedule).
RPI,RPI,RPI,RPI,teams_core_v30,RPI & SOS Metrics,.4f,,Rating Percentage Index: 0.25*WP + 0.50*OWP + 0.25*OOWP,1,Rating Percentage Index: 0.25*WP + 0.50*OWP + 0.25*OOWP
Q1_Games,Q1_Games,Q1 Games,,teams_core_v30,Quadrant Records,,,"Games in Quadrant 1 (best opponents, by location)",1,Aggregated from game results (counts and simple derived fields).
Q1_Wins,Q1_Wins,Q1 Wins,,teams_core_v30,Quadrant Records,,,Wins in Quadrant 1,1,Aggregated from game results (counts and simple derived fields).
Q1_Losses,Q1_Losses,Q1 Losses,,teams_core_v30,Quadrant Records,,,Losses in Quadrant 1,1,Aggregated from game results (counts and simple derived fields).
Q2_Games,Q2_Games,Q2 Games,,teams_core_v30,Quadrant Records,,,Games in Quadrant 2,1,Aggregated from game results (counts and simple derived fields).
Q2_Wins,Q2_Wins,Q2 Wins,,teams_core_v30,Quadrant Records,,,Wins in Quadrant 2,1,Aggregated from game results (counts and simple derived fields).
Q2_Losses,Q2_Losses,Q2 Losses,,teams_core_v30,Quadrant Records,,,Losses in Quadrant 2,1,Aggregated from game results (counts and simple derived fields).
Q3_Games,Q3_Games,Q3 Games,,teams_core_v30,Quadrant Records,,,Games in Quadrant 3,1,Aggregated from game results (counts and simple derived fields).
Q3_Wins,Q3_Wins,Q3 Wins,,teams_core_v30,Quadrant Records,,,Wins in Quadrant 3,1,Aggregated from game results (counts and simple derived fields).
Q3_Losses,Q3_Losses,Q3 Losses,,teams_core_v30,Quadrant Records,,,Losses in Quadrant 3,1,Aggregated from game results (counts and simple derived fields).
Q4_Games,Q4_Games,Q4 Games,,teams_core_v30,Quadrant Records,,,Games in Quadrant 4 (weakest opponents),1,Aggregated from game results (counts and simple derived fields).
Q4_Wins,Q4_Wins,Q4 Wins,,teams_core_v30,Quadrant Records,,,Wins in Quadrant 4,1,Aggregated from game results (counts and simple derived fields).
Q4_Losses,Q4_Losses,Q4 Losses,,teams_core_v30,Quadrant Records,,,Losses in Quadrant 4,1,Aggregated from game results (counts and simple derived fields).
LuckZ,LuckZ,Luck Z-Score,Luck,teams_core_v30,Luck & Performance Context,.2f,,Z-score of (Wins - ExpectedWins): measures over/under-performance vs schedule,1,Computed from Wins − ExpectedWins; LuckZ is the standardized (z-score) version across teams.
HomeGames,HomeGames,Home Games,,teams_core_v30,Home/Away/Neutral Splits,,,Games at home,1,Computed by filtering games by location (home/road/neutral) and aggregating counts/averages.
HomeWins,HomeWins,Home Wins,,teams_core_v30,Home/Away/Neutral Splits,,,Wins at home,1,Computed by filtering games by location (home/road/neutral) and aggregating counts/averages.
HomeLosses,HomeLosses,Home Losses,,teams_core_v30,Home/Away/Neutral Splits,,,Losses at home,1,Computed by filtering games by location (home/road/neutral) and aggregating counts/averages.
HomeWinPct,HomeWinPct,Home Win %,,teams_core_v30,Home/Away/Neutral Splits,.3f,,Home win percentage,1,Wins divided by Games within the specified location split.
HomeMarginPG,HomeMarginPG,Home Margin/G,,teams_core_v30,Home/Away/Neutral Splits,.1f,pts,Avg margin at home,1,Average margin computed only on games in the specified location split.
RoadGames,RoadGames,Road Games,,teams_core_v30,Home/Away/Neutral Splits,,,Games on the road,1,Computed by filtering games by location (home/road/neutral) and aggregating counts/averages.
RoadWins,RoadWins,Road Wins,,teams_core_v30,Home/Away/Neutral Splits,,,Wins on road,1,Computed by filtering games by location (home/road/neutral) and aggregating counts/averages.
RoadLosses,RoadLosses,Road Losses,,teams_core_v30,Home/Away/Neutral Splits,,,Losses on road,1,Computed by filtering games by location (home/road/neutral) and aggregating counts/averages.
RoadWinPct,RoadWinPct,Road Win %,,teams_core_v30,Home/Away/Neutral Splits,.3f,,Road win percentage,1,Wins divided by Games within the specified location split.
RoadMarginPG,RoadMarginPG,Road Margin/G,,teams_core_v30,Home/Away/Neutral Splits,.1f,pts,Avg margin on road,1,Average margin computed only on games in the specified location split.
HomeRoadDiff,HomeRoadDiff,Home/Road Diff,,teams_core_v30,Home/Away/Neutral Splits,.1f,pts,Home advantage differential (Home - Road margin),1,Difference between the home and road version of the same stat (Home − Road).
NeutralGames,NeutralGames,Neutral Games,,teams_core_v30,Home/Away/Neutral Splits,,,Games at neutral site,1,Computed by filtering games by location (home/road/neutral) and aggregating counts/averages.
NeutralWins,NeutralWins,Neutral Wins,,teams_core_v30,Home/Away/Neutral Splits,,,Wins at neutral,1,Computed by filtering games by location (home/road/neutral) and aggregating counts/averages.
NeutralLosses,NeutralLosses,Neutral Losses,,teams_core_v30,Home/Away/Neutral Splits,,,Losses at neutral,1,Computed by filtering games by location (home/road/neutral) and aggregating counts/averages.
NeutralWinPct,NeutralWinPct,Neutral Win %,,teams_core_v30,Home/Away/Neutral Splits,.3f,,Neutral win %,1,Wins divided by Games within the specified location split.
NeutralMarginPG,NeutralMarginPG,Neutral Margin/G,,teams_core_v30,Home/Away/Neutral Splits,.1f,pts,Avg margin at neutral,1,Average margin computed only on games in the specified location split.
CloseGames,CloseGames,Close Games,,teams_core_v30,Close Games & Blowouts,,,Games decided by ≤6 points,1,Counts of games/wins/losses after labeling each game as close/blowout by margin threshold.
CloseWins,CloseWins,Close Wins,,teams_core_v30,Close Games & Blowouts,,,Wins in close games,1,Counts of games/wins/losses after labeling each game as close/blowout by margin threshold.
CloseLosses,CloseLosses,Close Losses,,teams_core_v30,Close Games & Blowouts,,,Losses in close games,1,Counts of games/wins/losses after labeling each game as close/blowout by margin threshold.
CloseWinPct,CloseWinPct,Close Win %,,teams_core_v30,Close Games & Blowouts,.3f,,Win % in close games,1,Count of qualifying games divided by total Games (proportion).
CloseGameRate,CloseGameRate,Close Game Rate,,teams_core_v30,Close Games & Blowouts,.3f,,Proportion of games that are close,1,Count of qualifying games divided by total Games (proportion).
OnePossessionRate,OnePossessionRate,One-Possession Rate,,teams_core_v30,Close Games & Blowouts,.3f,,Rate of one-possession games,1,Count of qualifying games divided by total Games (proportion).
ClutchCloseGameWinPct,ClutchCloseGameWinPct,Clutch Close Win %,,teams_core_v30,Close Games & Blowouts,.3f,,Win % in clutch close games,1,Count of qualifying games divided by total Games (proportion).
BlowoutGames,BlowoutGames,Blowout Games,,teams_core_v30,Close Games & Blowouts,,,Games decided by ≥15 points,1,Counts of games/wins/losses after labeling each game as close/blowout by margin threshold.
