SCHOOL NAME,ADDRESS,CITY,STATE,ZIP
Ashland District,180 Presque Isle Road,Ashland,ME,04732
Bangor,885 Broadway,Bangor,ME,04401
Bangor Christian,1476 Broadway,Bangor,ME,04401
Belfast Area,25 Lions Way,Belfast,ME,04915
Berwick Academy,31 Academy Street,South Berwick,ME,03908
Biddeford,20 Maplewood Ave,Biddeford,ME,04005
Blue Hill Harbor,57 South Street,Blue Hill,ME,04614
Bonny Eagle,700 Saco Road,Standish,ME,04084
Boothbay Region,236 Townsend Ave,Boothbay Harbor,ME,04538
Brewer,79 Parkway South,Brewer,ME,04412
Brunswick,71 Dragon Drive,Brunswick,ME,04011
Buckfield Jr./Sr. High School,160 Morrill Street,Buckfield,ME,04220
Bucksport High School,102 Broadway,Bucksport,ME,04416
Calais,34 Blue Devil Hill,Calais,ME,04619
Camden Hills Regional,25 Keelson Drive,Rockport,ME,04856
Cape Elizabeth High School,345 Ocean House Rd.,Cape Elizabeth,ME,04107
Caribou,308 Sweden Street,Caribou,ME,04736
Carrabassett Valley Academy,3197 Carrabassett Drive,Carrabassett Valley,ME,04947
Carrabec,160 North Main St.,North Anson,ME,04958
Central,402 Main Street Corinth,Corinth,ME,04427
Central Aroostook Sr,26 Pleasant Street,Mars Hill,ME,04758
Cheverus,267 Ocean Avenue,Portland,ME,04103
Chop Point,425 Chops Point Road,Woolwich,ME,04579
Cony HS,60 Pierce Drive,Augusta,ME,04330
Deer Isle-Stonington High School,251 N. Deer Isle Road,Deer Isle,ME,04627
Deering,370 Stevens Avenue,Portland,ME,04103
Dexter Regional,12 Abbott Hill Road,Dexter,ME,04930
Dirigo,145 Weld Street,Dixfield,ME,04224
East Grand,31 Houlton Road,Danforth,ME,04424
Easton Senior,173 Center Road,Easton,ME,04740
Edward Little,77 Harris Street,Auburn,ME,04210
Ellsworth,24 Lejok Street,Ellsworth,ME,04605
Erskine Academy,309 Windsor Road,South China,ME,04358
Falmouth,74 Woodville Rd,Falmouth,ME,04105
Forest Hills Consolidated,606 Main Street,Jackman,ME,04945
Fort Fairfield HS,28 High School Drive,Fort Fairfield,ME,04742
Fort Kent Community,84 Pleasant Street,Fort Kent,ME,04743
Foxcroft Academy,975 West Main Street,Dover-Foxcroft,ME,04426
Freeport,30 Holbrook Street,Freeport,ME,04032
Fryeburg Academy,745 Main St,Fryeburg,ME,04037
Gardiner Area,40 West Hill Road,Gardiner,ME,04345
George Stevens Academy,23 Union Street,Blue Hill,ME,04614
Gorham,41 Morrill Avenue,Gorham,ME,04038
Gould (Arthur R.),675 Westbrook St,South Portland,ME,04106
Gould Academy,39 Church Street,Bethel,ME,04217
Gray-New Gloucester,10 Libby Hill Road,Gray,ME,04039
Greater Houlton Christian Academy,27 School Street,Houlton,ME,04730
Greater Portland Christian,1338 Broadway,Portland,ME,04106
Greely,303 Main St.,Cumberland,ME,04021
Greenville,130 Pritham Ave,Greenville,ME,04441
Hall-Dale,97 Maple St,Farmingdale,ME,04344
Hampden Academy,89 Western Avenue,Hampden,ME,04444
Hebron Academy,319 Paris Road ,Hebron,ME,-0309
Hermon,2415 Route 2,Hermon,ME,04401
Highview Christian Academy,739 Main Rd,Charleston,ME,04422
Hodgdon HS,175 Hodgdon Mills Road,Hodgdon,ME,04730
Houlton HS,7 Bird Street,Houlton,ME,04730
Hyde,616 High Street,Bath,ME,04530
Islesboro Central,159 Alumni Drive,Islesboro,ME,04848
John Bapst Memorial,100 Broadway,Bangor,ME,04401
Jonesport-Beals,139 Snare Creek,Lane Jonesport,ME,04649
Katahdin HS,800 Station Road,Stacyville,ME,04777
Kennebunk,89 Fletcher Street,Kennebunk,ME,04043
Kents Hill,1614 Main Street,Kents Hill,ME,04349
Lake Region,1877 Roosevelt Trail,Naples,ME,04055
Lawrence,9 School St,Fairfield,ME,04937
Leavitt Area,21 Matthews Way,Turner,ME,04282
Lee Academy,26 Winn Rd,Lee,ME,04455
Lewiston,156 East Avenue,Lewiston,ME,04240
Lincoln Academy,81 Academy Hill,Newcastle,ME,04553
Lisbon,2 Sugg Drive,Lisbon Falls,ME,04252
Machias Memorial,1 Bulldog Lane,Machias,ME,04654
Madawaska HS,135 Seventh Avenue,Madawaska,ME,04756
Madison Area Memorial,486 Main Street,Madison,ME,04950
Mahoney Middle School,637 Highland Avenue,South Portland,ME,04106
Maine Central Institute,295 Main Street,Pittsfield,ME,04967
Maine Coast Waldorf,57 Desert Road,Freeport,ME,04032
Maine School of Science and Math,95 High Street,Limestone,ME,04750
Maine Virtual Academy,6 E. Chestnut Street,Augusta,ME,04330
Maranacook Community,2250 Millard Harrison Drive,Readfield,ME,04355
Marshwood,260 Dow Highway,South Berwick,ME,03908
Massabesic,88 West Road,Waterboro,ME,04087
Mattanawcook Academy,33 Reed Drive,Lincoln,ME,04457
Medomak Valley,320 Manktown Road,Waldoboro,ME,04572
Memorial Middle School,637 Highland Avenue,South Portland,ME,04106
Messalonskee,131 Messalonskee High Drive,Oakland,ME,04963
Monmouth Academy,96 Academy Road,Monmouth,ME,04259
Morse,826 Shipbuilder Drive,Bath,ME,04530
Mount Desert Island,1081 Eagle Lake Road,Mt. Desert,ME,04660
Mount View,577 Mount View Road,Thorndike,ME,04986
Mountain Valley,799 Hancock Street,Rumford,ME,04276
Mt. Abram,1513 Salem Road,Salem,ME,04983
Mt. Ararat,68 Eagles Way,Topsham,ME,04086
Mt. Blue,129 Seamon Road,Famington,ME,04938
Narraguagus,1611 Main Street,Harrington,ME,04643
Noble,388 Somersworth Road,North Berwick,ME,03906
Nokomis,291 Williams Road. Suite 2.,Newport,ME,04953
North Haven Community School,93 Pulpit Harbor Road,North Haven,ME,04853
North Yarmouth Academy,148 Main Street,Yarmouth,ME,04096
Oak Hill,56 School Road,Wales,ME,04280
Oceanside,400 Broadway,Rockland,ME,04841
Old Orchard Beach,40 E. Emerson Cummings Blvd.,Old Orchard Beach,ME,04064
Old Town,203 Stillwater Ave.,Old Town,ME,04468
Orono,14 Goodridge Drive,Orono,ME,04473
Oxford Hills,256 Main Street,South Paris,ME,04281
Penobscot Christian,1423 Ohio Street,Bangor,ME,04401
Penobscot Valley,20 Cross Street,Howland,ME,04448
Penquis Valley HS,48 Penquis Drive,Milo,ME,04463
Pine Tree Academy,67 Pownal Road,Freeport,ME,04032
Piscataquis Community Secondary,9 Campus Drive,Guilford,ME,04443
Poland Regional,1457 Maine Street,Poland,ME,04274
Portland,284 Cumberland Avenue,Portland,ME,04101
Presque Isle,16 Griffin St,Presque Isle,ME,04769
Rangeley Lakes Regional,43 Mendolia Road,Rangeley,ME,04970
Richmond Middle,132 Main Street,Richmond,ME,04357
Sacopee Valley High School,115 So. Hiram Rd.,Hiram,ME,04041
Saint Dominic Academy,121 Gracelawn Rd.,Auburn,ME,04210
Sanford,100 Alumni Boulevard,Sanford,ME,04073
Scarborough High School,11 Municipal Drive,Scarborough,ME,04074
Scarborough Middle School,21 Quentin Dr,Scarborough,ME,04074
Schenck,45 North St,East Millinocket,ME,04430
Seacoast Christian,26 Paul Street,South Berwick,ME,03908
Searsport High School,24 Mortland Road,Searsport,ME,04974
Shead,89 High Street,Eastport,ME,04631
Skowhegan Area,61 Academy Circle Drive,Skowhegan,ME,04976
South Portland,637 Highland Avenue,South Portland,ME,04106
Southern Aroostook,922 Dyer Brook Road,Dyer Brook,ME,04747
Spruce Mountain,33 Community Drive,Jay,ME,04239
Stearns Sr.,199 State Street,Millinocket,ME,04462
Sumner Memorial,2456 US Highway 1,Sullivan,ME,04664
Telstar Regional,284 Walkers Mills Road,Bethel,ME,04217
Temple Academy,60 West River Road,Waterville,ME,04901
Thornton Academy,438 Main Street,Saco,ME,04072
Traip Academy,Williams Ave.,Kittery,ME,03904
Valley,110 Meadow Street,Bingham,ME,04920
Van Buren District,169 Main Street Suite 102,Van Buren,ME,04785
Vinalhaven,22 ArcolaLane,Vinalhaven,ME,04863
Washburn District,1359 Main Street,Washburn,ME,04786
Washington Academy,66 Cutler Road East,Machias,ME,04630
Watershed Community School,One Free Street,Camden,ME,04843
Waterville,One Brooklyn Avenue,Waterville,ME,04901
Waynflete,360 spring St,Portland,ME,04102
