Date,Gender,GameID,Team1,Team2,SchoolClass,SchoolRegion,SchoolDivision,OppDiv,GameNum,Rank,RecordText,GamesPlayed,GamesScheduled,PI,TI,Result,Winner,Loser,WinPoints,OppPreliminaryIndex,WinFlag,LossFlag,TieFlag,HomeTeam,AwayTeam,HomeScore,AwayScore,ScrapedAt
12/9/2025,Boys,9105,Erskine Academy,Winslow,B,North,North-B,South-C,2,6,12-4-0 (0.750),16,18,24.777777,67.65431889,win,Erskine Academy,Winslow,36,14.444444,X,,,Winslow,Erskine Academy,26,50,2026-02-02T11:38:32Z
12/13/2025,Boys,9108,Winslow,Mount View,C,South,South-C,South-C,4,11,7-9-0 (0.438),16,18,14.444444,36.23456667,win,Winslow,Mount View,36,20.444444,X,,,Winslow,Mount View,64,59,2026-02-02T11:38:32Z
1/13/2026,Boys,9116,Maine Central Institute,Winslow,C,North,North-C,South-C,11,12,4-12-0 (0.250),16,18,8.111111,21.23456722,win,Maine Central Institute,Winslow,36,14.444444,X,,,Winslow,Maine Central Institute,33,34,2026-02-02T11:38:32Z
1/30/2026,Boys,9122,Winslow,Winthrop,C,South,South-C,South-C,16,11,7-9-0 (0.438),16,18,14.444444,36.23456667,win,Winslow,Winthrop,36,5.888888,X,,,Winslow,Winthrop,63,34,2026-02-02T11:38:32Z
1/23/2026,Boys,9126,Winslow,Nokomis,C,South,South-C,North-B,13,11,7-9-0 (0.438),16,18,14.444444,36.23456667,win,Winslow,Nokomis,38,8.555555,X,,,Winslow,Nokomis,43,33,2026-02-02T11:38:32Z
12/5/2025,Girls,9128,Winslow,Maine Central Institute,C,South,South-C,North-C,1,5,10-6-0 (0.625),16,18,20.333333,52.71604722,win,Winslow,Maine Central Institute,36,6.222222,X,,,Winslow,Maine Central Institute,85,39,2026-02-02T11:38:32Z
12/11/2025,Girls,9130,Winslow,Madison Area Memorial Senior,C,South,South-C,South-D,3,5,10-6-0 (0.625),16,18,20.333333,52.71604722,win,Winslow,Madison Area Memorial Senior,34,15.666666,X,,,Winslow,Madison Area Memorial Senior,30,20,2026-02-02T11:38:32Z
1/6/2026,Girls,9134,Erskine Academy,Winslow,B,North,North-B,South-C,9,8,13-3-0 (0.813),16,18,26.888888,76.72839333,win,Erskine Academy,Winslow,36,20.333333,X,,,Winslow,Erskine Academy,38,56,2026-02-02T11:38:32Z
1/19/2026,Girls,9136,Mount View,Winslow,C,South,South-C,South-C,14,8,8-9-0 (0.471),17,18,16.222222,38.51851722,win,Mount View,Winslow,36,20.333333,X,,,Winslow,Mount View,44,54,2026-02-02T11:38:32Z
1/27/2026,Girls,9138,Morse,Winslow,B,South,South-B,South-C,14,10,5-11-0 (0.313),16,18,10.111111,40.61728278,win,Morse,Winslow,36,20.333333,X,,,Winslow,Morse,42,58,2026-02-02T11:38:32Z
