Date,Gender,GameID,Team1,Team2,SchoolClass,SchoolRegion,SchoolDivision,OppDiv,GameNum,Rank,RecordText,GamesPlayed,GamesScheduled,PI,TI,Result,Winner,Loser,WinPoints,OppPreliminaryIndex,WinFlag,LossFlag,TieFlag,HomeTeam,AwayTeam,HomeScore,AwayScore,ScrapedAt
2025-12-09,Boys,9105,Erskine Academy,Winslow,B,North,North-B,South-C,2,6,14-4-0 (0.778),18,18,29.0,86.2962933333,win,Erskine Academy,Winslow,36.0,16.555555,X,,,Winslow,Erskine Academy,26.0,50.0,2026-02-08T20:16:07Z
2025-12-13,Boys,9108,Winslow,Mount View,C,South,South-C,South-C,4,10,8-10-0 (0.444),18,18,16.555555,46.7283933333,win,Winslow,Mount View,36.0,22.555555,X,,,Winslow,Mount View,64.0,59.0,2026-02-08T20:16:07Z
2026-01-13,Boys,9116,Maine Central Institute,Winslow,C,North,North-C,South-C,11,11,5-13-0 (0.278),18,18,10.222222,30.3086411111,win,Maine Central Institute,Winslow,36.0,16.555555,X,,,Winslow,Maine Central Institute,33.0,34.0,2026-02-08T20:16:07Z
2026-01-30,Boys,9122,Winslow,Winthrop,C,South,South-C,South-C,16,10,8-10-0 (0.444),18,18,16.555555,46.7283933333,win,Winslow,Winthrop,36.0,5.888888,X,,,Winslow,Winthrop,63.0,34.0,2026-02-08T20:16:07Z
2026-01-23,Boys,9126,Winslow,Nokomis,C,South,South-C,North-B,13,10,8-10-0 (0.444),18,18,16.555555,46.7283933333,win,Winslow,Nokomis,38.0,10.555555,X,,,Winslow,Nokomis,43.0,33.0,2026-02-08T20:16:07Z
2025-12-05,Girls,9128,Winslow,Maine Central Institute,C,South,South-C,North-C,1,6,10-8-0 (0.556),18,18,20.333333,59.4444422222,win,Winslow,Maine Central Institute,36.0,6.222222,X,,,Winslow,Maine Central Institute,85.0,39.0,2026-02-08T20:16:07Z
2025-12-11,Girls,9130,Winslow,Madison Area Memorial Senior,C,South,South-C,South-D,3,6,10-8-0 (0.556),18,18,20.333333,59.4444422222,win,Winslow,Madison Area Memorial Senior,34.0,17.666666,X,,,Winslow,Madison Area Memorial Senior,30.0,20.0,2026-02-08T20:16:07Z
2026-01-06,Girls,9134,Erskine Academy,Winslow,B,North,North-B,South-C,9,8,14-4-0 (0.778),18,18,29.0,91.6049361111,win,Erskine Academy,Winslow,36.0,20.333333,X,,,Winslow,Erskine Academy,38.0,56.0,2026-02-08T20:16:07Z
2026-01-19,Girls,9136,Mount View,Winslow,C,South,South-C,South-C,14,8,9-9-0 (0.500),18,18,18.333333,42.9629616666,win,Mount View,Winslow,36.0,20.333333,X,,,Winslow,Mount View,44.0,54.0,2026-02-08T20:16:07Z
2026-01-27,Girls,9138,Morse,Winslow,B,South,South-B,South-C,14,11,7-11-0 (0.389),18,18,14.222222,47.3456777777,win,Morse,Winslow,36.0,20.333333,X,,,Winslow,Morse,42.0,58.0,2026-02-08T20:16:07Z
2026-02-03,Girls,9140,Oceanside,Winslow,B,South,South-B,South-C,18,2,17-1-0 (0.944),18,18,35.777777,164.2592561111,win,Oceanside,Winslow,36.0,20.333333,X,,,Winslow,Oceanside,31.0,74.0,2026-02-08T20:16:07Z
2026-02-05,Girls,9142,Lincoln Academy,Winslow,B,South,South-B,South-C,18,13,6-12-0 (0.333),18,18,12.444444,46.4814805555,win,Lincoln Academy,Winslow,36.0,20.333333,X,,,Winslow,Lincoln Academy,46.0,55.0,2026-02-08T20:16:07Z
2025-12-05,Boys,9145,Cape Elizabeth,Fryeburg Academy,B,South,South-B,South-B,1,8,8-10-0 (0.444),18,18,16.444444,62.85766,win,Cape Elizabeth,Fryeburg Academy,38.0,1.0,X,,,Cape Elizabeth,Fryeburg Academy,48.0,40.0,2026-02-08T20:16:07Z
2025-12-15,Boys,9147,Cape Elizabeth,Freeport,B,South,South-B,South-B,4,8,8-10-0 (0.444),18,18,16.444444,62.85766,win,Cape Elizabeth,Freeport,38.0,10.555555,X,,,Cape Elizabeth,Freeport,54.0,50.0,2026-02-08T20:16:07Z
2025-12-20,Boys,9149,Lake Region,Cape Elizabeth,B,South,South-B,South-B,5,3,15-3-0 (0.833),18,18,31.333333,120.5737077777,win,Lake Region,Cape Elizabeth,38.0,16.444444,X,,,Cape Elizabeth,Lake Region,48.0,71.0,2026-02-08T20:16:07Z
2026-01-02,Boys,9152,Yarmouth,Cape Elizabeth,B,South,South-B,South-B,8,4,14-4-0 (0.778),18,18,29.444444,115.2650661111,win,Yarmouth,Cape Elizabeth,38.0,16.444444,X,,,Cape Elizabeth,Yarmouth,56.0,65.0,2026-02-08T20:16:07Z
2026-01-09,Boys,9154,Cape Elizabeth,Sacopee Valley,B,South,South-B,South-C,10,8,8-10-0 (0.444),18,18,16.444444,62.85766,win,Cape Elizabeth,Sacopee Valley,36.0,23.333333,X,,,Cape Elizabeth,Sacopee Valley,69.0,48.0,2026-02-08T20:16:07Z
2026-01-19,Boys,9156,Cape Elizabeth,Traip Academy,B,South,South-B,South-C,13,8,8-10-0 (0.444),18,18,16.444444,62.85766,win,Cape Elizabeth,Traip Academy,36.0,11.555555,X,,,Cape Elizabeth,Traip Academy,69.0,46.0,2026-02-08T20:16:07Z
2026-01-27,Boys,9158,Cape Elizabeth,Waynflete,B,South,South-B,South-C,15,8,8-10-0 (0.444),18,18,16.444444,62.85766,win,Cape Elizabeth,Waynflete,36.0,18.588235,X,,,Cape Elizabeth,Waynflete,72.0,67.0,2026-02-08T20:16:07Z
2026-01-29,Boys,9160,Poland Regional,Cape Elizabeth,B,South,South-B,South-B,16,6,12-6-0 (0.667),18,18,25.0,83.3514861111,win,Poland Regional,Cape Elizabeth,38.0,16.444444,X,,,Cape Elizabeth,Poland Regional,43.0,58.0,2026-02-08T20:16:07Z
