GameID,HomeTeam,AwayTeam,HomeScore,AwayScore,ScoresScrapedAt
14177,Bonny Eagle High School,Biddeford,64.0,57.0,2026-02-08T20:33:30Z
15165,Biddeford,Bonny Eagle High School,72.0,24.0,2026-02-08T20:33:30Z
18870,Boothbay Region High School,Madison Area Memorial Senior,44.0,69.0,2026-02-08T20:33:30Z
10545,Madison Area Memorial Senior,Boothbay Region High School,73.0,48.0,2026-02-08T20:33:30Z
10521,Madison Area Memorial Senior,Boothbay Region High School,51.0,23.0,2026-02-08T20:33:30Z
18913,Boothbay Region High School,Madison Area Memorial Senior,30.0,38.0,2026-02-08T20:33:30Z
18650,Brewer High School,Bangor,49.0,46.0,2026-02-08T20:33:30Z
11585,Bangor,Brewer High School,53.0,33.0,2026-02-08T20:33:30Z
11449,Bangor,Brunswick High School,54.0,46.0,2026-02-08T20:33:30Z
10788,Brunswick High School,Brewer,68.0,34.0,2026-02-08T20:33:30Z
10813,Brunswick High School,Bangor,35.0,52.0,2026-02-08T20:33:30Z
18621,Brewer,Brunswick High School,51.0,23.0,2026-02-08T20:33:30Z
11543,Bangor,Camden Hills Regional,34.0,62.0,2026-02-08T20:33:30Z
18657,Brewer,Camden Hills Regional,63.0,73.0,2026-02-08T20:33:30Z
11795,Camden Hills Regional,Brunswick,55.0,52.0,2026-02-08T20:33:30Z
11802,Camden Hills Regional,Brewer,71.0,43.0,2026-02-08T20:33:30Z
11581,Camden Hills Regional,Bangor,53.0,33.0,2026-02-08T20:33:30Z
18618,Brewer,Camden Hills Regional,51.0,67.0,2026-02-08T20:33:30Z
10831,Brunswick,Camden Hills Regional,39.0,65.0,2026-02-08T20:33:30Z
11897,Camden Hills Regional,Brewer,67.0,31.0,2026-02-08T20:33:30Z
13698,Buckfield HS,Carrabec High School,47.0,43.0,2026-02-08T20:33:30Z
13714,Carrabec High School,Buckfield HS,75.0,31.0,2026-02-08T20:33:30Z
14134,Carrabec High School,Madison Area Memorial Senior,30.0,65.0,2026-02-08T20:33:30Z
13733,Buckfield HS,Carrabec High School,64.0,59.0,2026-02-08T20:33:30Z
10523,Madison Area Memorial Senior,Carrabec High School,44.0,49.0,2026-02-08T20:33:30Z
13751,Carrabec High School,Buckfield HS,36.0,38.0,2026-02-08T20:33:30Z
17917,Ashland District,Central Aroostook Sr High School,18.0,89.0,2026-02-08T20:33:30Z
17931,Central Aroostook Sr High School,Ashland District,96.0,15.0,2026-02-08T20:33:30Z
17939,Ashland District,Central Aroostook Sr High School,14.0,47.0,2026-02-08T20:33:30Z
17951,Central Aroostook Sr High School,Ashland District,55.0,37.0,2026-02-08T20:33:30Z
15533,Central High School,Bucksport,36.0,57.0,2026-02-08T20:33:30Z
19469,Bucksport,Central High School,71.0,41.0,2026-02-08T20:33:30Z
19614,Bucksport,Central High School,25.0,28.0,2026-02-08T20:33:30Z
15591,Central High School,Bucksport,36.0,26.0,2026-02-08T20:33:30Z
14179,Bonny Eagle,Cheverus High School,72.0,47.0,2026-02-08T20:33:30Z
13412,Cheverus High School,Biddeford,80.0,39.0,2026-02-08T20:33:30Z
13329,Cheverus High School,Bonny Eagle,70.0,20.0,2026-02-08T20:33:30Z
15187,Biddeford,Cheverus High School,54.0,40.0,2026-02-08T20:33:30Z
11776,Camden Hills Regional,Cony High School,61.0,70.0,2026-02-08T20:33:30Z
