K,ELO_START,PROB_ELO_SCALE,TOTAL_SHRINK,BASE_TOTAL,HOME_ADV,MARGIN_DIVISOR,MARGIN_KEEP,PROB_POINT_SCALE,Played,FavAccPct,MarginMAE,MarginRMSE,Within5Pct,Within10Pct,TotalMAE,TotalBias,Calib_50_59_Hit,Calib_50_59_AvgProb,Games_60plus,Acc_60plus,Score
18.0,1500.0,400.0,0.65,95.0,0.0,16.0,0.45,12.0,2314,74.5894554883319,20.784761902965805,26.12802923477946,14.736387208297321,30.89887640449438,17.279944099334404,0.2890562516873816,74.19921017990346,52.47327443893874,35,100.0,23.25043755419207
18.0,1500.0,400.0,0.65,95.0,0.0,16.0,0.45,10.0,2314,74.5894554883319,20.784761902965805,26.12802923477946,14.736387208297321,30.89887640449438,17.279944099334404,0.2890562516873816,73.67475292003594,52.774530055056815,88,97.72727272727273,23.364073917828435
18.0,1500.0,400.0,0.65,95.0,0.0,16.0,0.45,8.0,2314,74.5894554883319,20.784761902965805,26.12802923477946,14.736387208297321,30.89887640449438,17.279944099334404,0.2890562516873816,72.34345351043643,53.0331865110229,206,97.57281553398059,23.371796777493042
18.0,1500.0,400.0,0.65,95.0,0.0,16.0,0.45,6.0,2314,74.5894554883319,20.784761902965805,26.12802923477946,14.736387208297321,30.89887640449438,17.279944099334404,0.2890562516873816,70.64220183486239,53.47813669581773,352,96.5909090909091,23.420892099646615
18.0,1500.0,400.0,0.65,95.0,0.0,14.0,0.45,8.0,2314,74.5894554883319,20.653137696613186,25.97931940448824,14.95246326707001,31.331028522039755,17.289419258512634,0.4685769435261641,71.47058823529412,53.22420298932242,274,97.81021897810218,23.662631044966446
18.0,1500.0,400.0,0.65,95.0,0.0,14.0,0.45,10.0,2314,74.5894554883319,20.653137696613186,25.97931940448824,14.95246326707001,31.331028522039755,17.289419258512634,0.4685769435261641,72.88765088207985,52.91814431010176,160,97.5,23.678141993871556
18.0,1500.0,400.0,0.65,95.0,0.0,14.0,0.45,12.0,2314,74.5894554883319,20.653137696613186,25.97931940448824,14.95246326707001,31.331028522039755,17.289419258512634,0.4685769435261641,73.87427552385198,52.69727708646893,71,97.1830985915493,23.69398706429409
18.0,1500.0,400.0,0.65,95.0,0.0,14.0,0.45,6.0,2314,74.5894554883319,20.653137696613186,25.97931940448824,14.95246326707001,31.331028522039755,17.289419258512634,0.4685769435261641,69.2558392178164,53.52830407829165,473,95.34883720930233,23.78570013340644
18.0,1500.0,400.0,0.65,95.0,0.0,16.0,0.55,10.0,2314,74.5894554883319,20.58026541775957,25.8973808304654,15.168539325842698,31.41745894554883,17.295920426290188,0.5683106612143772,72.57761053621824,53.025249252478424,188,97.34042553191489,23.855653181002985
18.0,1500.0,400.0,0.65,95.0,0.0,16.0,0.55,8.0,2314,74.5894554883319,20.58026541775957,25.8973808304654,15.168539325842698,31.41745894554883,17.295920426290188,0.5683106612143772,71.22266401590457,53.350235651540395,302,97.01986754966887,23.871681080115284
